Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,,,,9.735890388,,,8.443059921,7.435259819,,7.246510029,9.627969742,6.625100136,,,12.19032001,11.54325008,12.46389008,12.51117992,12.79810047,13.04726028,13.69981956,,,,,,,,42.09106827,46.45927048,49.09418106,51.94884109,53.6375885,53.52943039,48.3395195,48.00260925,48.30337143,49.01340866,48.52064896,51.34368134,53.83343473,54.8353082,56.76427078,59.83535249,,65.34755707,69.79815704,69.5436004,72.08465521,71.98483773,75.04775699,79.73363875,77.33841461,76.60186099
Bulgaria,BGR,,90.15158844,91.14707184,91.91539001,93.36348724,94.59900665,88.29019928,91.55338287,89.24672699,86.94991302,86.41790009,86.4263382,87.05335999,88.41616058,89.65014648,91.04949951,96.08822632,98.58786011,101.6107407,102.7937622,99.84410095,98.35714722,96.16409302,93.41828156,90.26496124,91.58197021,91.45368958,90.82776642,89.23935699,77.36269379,78.94786072,79.96337891,83.05254364,87.12753296,88.83679199,89.52867126,90.65309143,91.31700897,90.90071106,90.95661926,92.17254639,94.1002121,93.22041321,97.85382843,102.4883423,101.6246109,100.9383926,101.6153717,102.039917,101.7046204,100.3326416,97.46845245,95.5302887,
Bahrain,BHR,,43.45689011,47.05580139,48.27180862,51.68376923,53.47121811,53.91553116,55.2976799,59.82875824,61.40198898,53.86571884,58.31404114,62.47032928,71.32465363,71.25034332,75.26168823,80.48812103,82.21195221,83.49774933,85.68585205,84.0944519,97.81524658,94.36517334,93.27645874,91.97866058,88.99430847,87.17497253,84.93807983,84.98712158,84.72305298,87.65131378,90.38170624,93.23648834,95.42572021,93.13977814,90.26474762,89.43720245,,91.8119278,92.38210297,92.08528137,93.84507751,96.60314941,105.4008713,104.9735718,102.1753387,103.4187698,102.8191986,100.5283279,101.1704407,,,101.4337692,98.20588684
"Bahamas, The",BHS,,,,,,,,,,,,,88.37493896,88.8861618,,88.38529968,89.25681305,93.3720932,,,,,90.87982178,91.79026031,,85.7886734,,90.2175827,,74.90035248,,,88.35381317,,80.60643768,81.82843781,82.17636871,86.1288681,85.496521,84.81600189,86.4209137,82.22892761,84.54914093,75.89581299,79.29910278,,,,,,,62.88814926,,84.86463165
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00881958,85.73007202,86.87522888,84.15911865,84.87013245,85.54438782,84.87021637,84.85437775,83.42259979,83.26309967,84.49298859,86.38905334,85.94657135,85.5843277,85.29080963,85.56173706,84.9778595
Belarus,BLR,,87.77837372,88.13693237,89.0771637,90.30156708,92.22142029,96.72956848,96.7804184,97.69830322,99.36190033,100.5406189,,,,,,,98.18131256,98.42556763,98.37557983,96.65775299,,,,,,,,83.18508148,,,,,,,,,,113.6731415,111.9583588,108.2490234,105.2532196,102.5445404,98.97181702,97.33027649,95.98834991,95.34810638,94.33270264,93.89388275,93.58657837,93.53646088,93.80406952,92.5341568,92.50656128
Belize,BLZ,,,,,,,,,,,,,,,,,64.09664917,64.69908142,,,,61.92964172,,,67.53363037,68.03108215,,,,66.70474243,69.52532196,71.60343933,,77.51772308,79.56746674,76.73471832,77.76531982,77.23863983,77.35082245,76.8969574,77.78898621,78.0504303,79.69423676,82.2633667,82.32737732,82.54975891,88.69940186,87.32164001,88.36797333,88.38981628,87.68482208,90.07482147,88.62767792,84.27726746
Bermuda,BMU,,93.11048126,84.7937088,97.70874023,94.33151245,99.44312286,102.4837112,117.2096863,117.1747513,116.3419037,121.9209595,,,,,,,,,,,,,,,,,,,,,90.74649811,90.94426727,94.25376129,98.22736359,97.0428009,92.33518982,,,,98.82746887,98.54451752,97.22222137,96.09713745,94.29324341,94.12555695,93.67842419,88.14575646,89.88040478,85.98088302,85.99640934,84.91644679,79.90533563,76.04611206
Bolivia,BOL,,24.09840965,,,,,,,,,,,,,,,,,,,,,,,,,,,67.39536285,72.58202362,70.1280365,73.21198273,78.06446075,80.80719757,83.81027222,85.27240753,84.95202637,84.89775085,84.6359787,83.54692841,88.74600983,86.35402679,88.04280853,89.73777771,90.25727081,91.14537048,90.99498749,89.74532318,89.07739258,89.25836182,89.53395081,91.34928131,91.51313782,92.37030792
Brazil,BRA,26.29725075,28.66152,34.21382904,36.22698975,47.24309158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.90802002,107.2829285,106.1211929,103.753479,104.7661209,104.6052704,106.6337204,106.0281067,106.5199203,110.2274399,108.7839279,
